0 Armstrong, Darrell
1 Beatty, Warren
2 Blanc, Françoise
3 Brady, Scott
4 Brauss, Arthur
5 Fröbe, Gert
6 Hawn, Goldie
7 Herron, Bob
8 Hesslein, Horst
9 Hutter, Hans
10 Kieling, Wolfgang
11 Kuhlman, Wolfgang
12 Lahman, Kirsten
13 Maybach, Christiane
14 Platon, Tove
15 Stender, Monica
16 Stiles, Robert
17 Trott, Walt
18 Tschichan, Klaus
19 Webber, Robert

20 Andrews, Edward
21 Bender, Jack
22 Bowles, Billy
23 Cady, Frank
24 Daly, Jonathon
25 Duncan, Sandy
26 Flynn, Joe
27 Fox, Bernard
28 Gregory, James
29 Hunnicutt, Arthur
30 Jackson, Sammy
31 Jones, Dean
32 Jones, Hank
33 Jordan, Ted
34 Kruschen, Jack
35 Montgomery, Lee
36 O'Byrne, Bryan
37 O'Hanlon, George
38 Renoudet, Pete
39 Roberts, Tony
40 Russell, Neil
41 Smith, Hal
42 Vincent, Virginia
43 Wilcox, Frank

44 Aldredge, Tom
45 Arceri, John
46 Beardsley, Alice
47 Belack, Doris
48 Boutsikaris, Dennis
49 Carmine, Michael
50 Colon, Riki
51 Cronyn, Hume
52 Dear, H. Clay
53 DiSanti, John
54 Dixon, MacIntyre
55 Grafe, Judy
56 Greene, Michael
57 Hamer, Joe
58 Hoffman, Jane
59 Imparato, Jon
60 Kurtz, Shelly
61 LeGros, James
62 Martinsen, Dick
63 McRae, Frank
64 Pankow, John
65 Peña, Elizabeth
66 Raymond, Charles
67 Renensland, Howard
68 Santana, José
69 Schaal, Wendy
70 Schwary, Ronald L.
71 Shoffner, Susan
72 Tandy, Jessica
73 Vasquez, David

74 Braun, Pinkas
75 Dávila, Luis
76 Jeffries, Lang
77 Karlsen, John
78 Persson, Essy
79 Rizzo, Gianni

80 Aames, Angela
81 Aguilar, Irma Eugenia
82 Anderson, Charles
83 Barnes, Susan
84 Bremen, Leonard
85 Brock, Stanley
86 Brodie, Don
87 Bryant-King, Ursaline
88 Coello, Martha Louisa
89 Cook, Perry
90 Decker, Johnnie
91 Dell, Charlie
92 Ditmars, Ivan
93 Emmich, Cliff 'Fatty'
94 Falk, Peter
95 Frederick, Vicki
96 Fuentes, Ernie
97 Greene, Joe
98 Greenwood, Paul
99 Hagiwara, Taemi
100 Hammer, Alvin
101 Hancock, John
102 Hayes, Gloria
103 Hearn, Chick
104 Henderson, Leslie
105 Hicks, Chuck
106 Homesly, Ray
107 Hori, Ayumi
108 Jaeckel, Richard
109 Kulzer, William J.
110 Kusatsu, Clyde
111 Landon, Laurene
112 Magiera, Dan
113 Margo, Joseph
114 McKay, Karen
115 McLane, Randy
116 McLarty, Gary
117 Mechsner, Susan
118 Minton, Faith
119 Montana, Lenny
120 Nevins, Claudette
121 Petrilli, Marlene
122 Plascencia, Adolfo
123 Reed, Tracy
124 Sardo, Cosmo
125 Shields, Nicholas
126 Stevens, Brinke
127 Terry, Jon
128 Torres, Gustavo
129 White, Steve
130 Young, Burt

131 Adele, Jan
132 Arquette, Rosanna
133 Hagan, Jennifer
134 Hedge, Douglas
135 Hoey, Dennis
136 Hyde, Gillian
137 Jenkins, Barry
138 Little, Charles
139 Lucas, Betty
140 Lyons, Susan
141 McInnes, William
142 Miragliotta, Frederick
143 Moran, Toni
144 Nash, Danny
145 Price, Robert
146 Smith, Desirée
147 Spence, Bruce
148 Sylbing, Jeraldine
149 Walker, Kerry
150 Warburton, Doreen
151 Wardlow, James
152 Weaving, Hugo

153 Andes, Keith
154 Aquino, John
155 Arnold, Victor
156 Beck, Vincent
157 Blackmore, Stephen
158 Bogazianos, Vasili
159 Bryggman, Larry
160 Cartwright, Bonita
161 Chianese, Dominic
162 Christian, Robert
163 Clute, Sidney
164 Council, Allisha
165 Currier, Terrence
166 Davy, Walter
167 Dunbar, Julius
168 Duncan, Angus
169 Forbes, Angelyn
170 Forsythe, John
171 Fredricks, Rita
172 Gorrin, Michael
173 Harris, Baxter
174 Hawkins, McLindsey
175 Haymer, Johnny
176 Hertzler, John
177 Hollander, Jack
178 Kohler, Molly
179 Lahti, Christine
180 Levene, Sam
181 Morton, Joe
182 Nelson, Craig T.
183 North, Alan
184 Pacino, Al
185 Patterson, Kenneth
186 Pistilli, Carl
187 Polk, Bill
188 Quinn, Tom
189 Saiontz, Donald
190 Sanders, Beverly
191 Sawyer, Connie
192 Schurr, Cathleen
193 Scott, Newton
194 Siebert, Charles
195 Sliwka, Frank
196 Strasberg, Lee
197 Symonds, Robert
198 Tambor, Jeffrey
199 Waites, Thomas G.
200 Warden, Jack
201 Wooten, Terri
202 Zwerling, Darrell

203 Allen, Jack
204 Assang, George
205 Basehart, Richard
206 Cheong, June
207 Duncan, Carmen
208 Effendl, Rici
209 Fennell, Willie
210 Foxcroft, Les
211 Fürst, Joseph
212 Ho, James
213 Huggins, John
214 Jervis, Bill
215 Kurts, Alwyn
216 Medan, Shariff
217 Mulloy, Gary
218 Nielsen, Leslie
219 Scully, Rick
220 Selamat, Malik
221 Strasberg, Susan
222 Sumner, Peter
223 Turner, Niki
224 Wager, Tony
225 Wallace, John
226 Wallace, Rowena
227 Waters, Russell

228 Abrahams, Charlie
229 Adkins, Seth
230 Belshaw, Diana
231 Bennett, Mairon
232 Brockway, Lorraine
233 Burmester, Leo
234 Burnett, Tannis
235 Butler, Tom
236 Callahan, Dick
237 Dann, Hugo
238 Foster, Douglas
239 Griffin, Lynne
240 Harper, Kyra
241 Holloway, Ann
242 Janney, Allison
243 Kelly, Millicent
244 Knutsen, Kelly
245 Lampley, Oni
246 Martindale, Margo
247 Mignacco, Darlene
248 Moroney, Marianne
249 Podemski, Jennifer
250 Poulis, Jeff
251 Roblin, Jennifer
252 Seale, Robert
253 Stewart, Barbara
254 Streep, Meryl
255 Strugnell, Austin
256 Taylor, Mark
257 Veninger, Ingrid
258 Ward, Fred
259 Wilson, Lorna
260 Yarmush, Michael
261 Zemanek, Timm

262 Bonos, Gigi
263 Carey Jr., Harry
264 De Luca, Pupo
265 Di Marco, Gildo
266 Dublin, Jessica
267 Fiermonte, Enzo
268 Hill, Terence
269 Landry, Gérard
270 Pizzuti, Riccardo
271 Ressel, Franco
272 Sommer, Yanti
273 Spencer, Bud
274 Stefanelli, Benito
275 Tarascio, Enzo

276 Anderson, Ernest
277 Brown, Calvin
278 Brown, Jim
279 Cahill, Barry
280 Carlin, Lynn
281 Casey, Bernie
282 Cisar, George
283 Elkins, Richard
284 Frazer, Dan
285 Glenn, Roy
286 James, Anthony
287 James, Clifton
288 Kennedy, George
289 MacLachlan, Janet
290 March, Fredric
291 Myers, Paulene
292 Random, Robert
293 Rooker, Renny
294 Smith, Leonard O.
295 Stroud, Don
296 Swenson, Karl
297 Taylor, Beverly
298 Taylor, Dub
299 Walker, Bill
300 Washington, Dino
301 Watson, Mills
